,Unnamed: 0,Edges,Length,Demand
0,0,"(0, 1)",4,0.32000000000000006
1,1,"(0, 190)",12,0.96
2,2,"(0, 320)",6,0.48
3,3,"(0, 477)",10,1.0
4,4,"(0, 499)",5,0.5
5,5,"(1, 2)",4,0.36000000000000004
6,6,"(1, 67)",11,1.1
7,7,"(190, 49)",10,0.8
8,8,"(190, 75)",9,0.81
9,9,"(190, 126)",9,0.9900000000000001
10,10,"(190, 189)",7,0.63
11,11,"(190, 191)",10,1.0
12,12,"(190, 287)",4,0.44000000000000006
13,13,"(320, 319)",4,0.36000000000000004
14,14,"(320, 321)",6,0.54
15,15,"(320, 378)",8,0.8800000000000001
16,16,"(320, 410)",6,0.66
17,17,"(320, 462)",7,0.7
18,18,"(477, 121)",10,0.9
19,19,"(477, 158)",5,0.45
20,20,"(477, 476)",10,0.8
21,21,"(477, 478)",8,0.8
22,22,"(499, 98)",3,0.24
23,23,"(499, 498)",7,0.5599999999999999
24,24,"(2, 3)",7,0.5599999999999999
25,25,"(2, 268)",6,0.6
26,26,"(2, 373)",6,0.66
27,27,"(67, 34)",10,0.8
28,28,"(67, 66)",8,0.8
29,29,"(67, 68)",6,0.6
30,30,"(67, 84)",14,1.1199999999999999
31,31,"(67, 199)",4,0.36000000000000004
32,32,"(67, 265)",9,0.7200000000000001
33,33,"(67, 309)",6,0.6
34,34,"(3, 4)",9,0.9900000000000001
35,35,"(3, 287)",6,0.54
36,36,"(268, 267)",5,0.55
37,37,"(268, 269)",4,0.36000000000000004
38,38,"(268, 484)",7,0.5599999999999999
39,39,"(373, 81)",4,0.4
40,40,"(373, 225)",9,0.9
41,41,"(373, 372)",7,0.63
42,42,"(373, 374)",6,0.54
43,43,"(4, 5)",6,0.6
44,44,"(4, 112)",3,0.24
45,45,"(4, 194)",5,0.4
46,46,"(4, 298)",5,0.5
47,47,"(287, 60)",4,0.32000000000000006
48,48,"(287, 170)",6,0.6
49,49,"(287, 286)",9,0.81
50,50,"(287, 288)",3,0.33
51,51,"(5, 6)",8,0.7200000000000001
52,52,"(112, 111)",8,0.8800000000000001
53,53,"(112, 113)",9,0.81
54,54,"(112, 405)",4,0.44000000000000006
55,55,"(194, 193)",4,0.36000000000000004
56,56,"(194, 195)",9,0.9
57,57,"(194, 280)",6,0.48
58,58,"(298, 290)",7,0.63
59,59,"(298, 297)",2,0.2
60,60,"(298, 299)",8,0.6400000000000001
61,61,"(298, 330)",8,0.8
62,62,"(6, 7)",10,0.9
63,63,"(6, 42)",10,1.1
64,64,"(7, 8)",11,1.2100000000000002
65,65,"(7, 294)",11,1.1
66,66,"(7, 341)",4,0.36000000000000004
67,67,"(42, 41)",9,0.7200000000000001
68,68,"(42, 43)",9,0.81
69,69,"(42, 62)",11,1.2100000000000002
70,70,"(42, 283)",3,0.27
71,71,"(42, 420)",6,0.6
72,72,"(8, 9)",5,0.45
73,73,"(8, 180)",8,0.7200000000000001
74,74,"(294, 138)",4,0.32000000000000006
75,75,"(294, 144)",7,0.63
76,76,"(294, 293)",4,0.4
77,77,"(294, 295)",8,0.6400000000000001
78,78,"(294, 318)",6,0.66
79,79,"(294, 435)",4,0.36000000000000004
80,80,"(294, 463)",10,1.0
81,81,"(341, 135)",7,0.77
82,82,"(341, 277)",12,1.2
83,83,"(341, 340)",12,1.32
84,84,"(341, 342)",9,0.9
85,85,"(341, 441)",10,1.1
86,86,"(9, 10)",7,0.7
87,87,"(9, 489)",9,0.81
88,88,"(180, 85)",5,0.45
89,89,"(180, 145)",9,0.7200000000000001
90,90,"(180, 179)",7,0.7
91,91,"(180, 181)",5,0.45
92,92,"(10, 11)",9,0.81
93,93,"(10, 172)",9,0.7200000000000001
94,94,"(10, 295)",10,1.0
95,95,"(489, 488)",7,0.77
96,96,"(489, 490)",10,1.0
97,97,"(11, 12)",7,0.63
98,98,"(172, 110)",6,0.54
99,99,"(172, 162)",5,0.5
100,100,"(172, 171)",6,0.66
101,101,"(172, 173)",3,0.27
102,102,"(172, 218)",14,1.54
103,103,"(172, 389)",7,0.7
104,104,"(295, 201)",5,0.5
105,105,"(295, 277)",8,0.7200000000000001
106,106,"(295, 296)",5,0.5
107,107,"(295, 344)",6,0.66
108,108,"(12, 13)",3,0.3
109,109,"(12, 277)",8,0.6400000000000001
110,110,"(12, 325)",8,0.8800000000000001
111,111,"(12, 354)",6,0.6
112,112,"(13, 14)",5,0.55
113,113,"(277, 27)",10,1.0
114,114,"(277, 154)",11,0.9900000000000001
115,115,"(277, 276)",10,0.9
116,116,"(277, 278)",5,0.5
117,117,"(277, 365)",11,1.1
118,118,"(325, 186)",5,0.5
119,119,"(325, 324)",7,0.7
120,120,"(325, 326)",4,0.32000000000000006
121,121,"(354, 353)",4,0.36000000000000004
122,122,"(354, 355)",6,0.48
123,123,"(354, 439)",8,0.7200000000000001
124,124,"(14, 15)",9,0.81
125,125,"(14, 215)",14,1.26
126,126,"(14, 380)",9,0.9
127,127,"(14, 408)",10,1.1
128,128,"(14, 414)",7,0.7
129,129,"(15, 16)",7,0.63
130,130,"(15, 60)",5,0.55
