,Unnamed: 0,Edges,Length,Demand
0,0,"(0, 1)",5,0.4
1,1,"(0, 392)",7,0.5599999999999999
2,2,"(0, 399)",12,1.2
3,3,"(1, 2)",7,0.5599999999999999
4,4,"(1, 142)",7,0.63
5,5,"(1, 362)",3,0.27
6,6,"(392, 58)",9,0.81
7,7,"(392, 286)",4,0.36000000000000004
8,8,"(392, 361)",8,0.6400000000000001
9,9,"(392, 391)",7,0.77
10,10,"(392, 393)",4,0.36000000000000004
11,11,"(399, 105)",4,0.36000000000000004
12,12,"(399, 398)",10,1.0
13,13,"(2, 3)",7,0.77
14,14,"(142, 105)",7,0.5599999999999999
15,15,"(142, 141)",8,0.7200000000000001
16,16,"(142, 143)",2,0.22000000000000003
17,17,"(142, 198)",4,0.44000000000000006
18,18,"(142, 278)",10,1.0
19,19,"(142, 337)",4,0.36000000000000004
20,20,"(362, 293)",3,0.27
21,21,"(362, 361)",5,0.45
22,22,"(362, 363)",8,0.7200000000000001
23,23,"(3, 4)",5,0.4
24,24,"(3, 188)",5,0.45
25,25,"(4, 5)",9,0.9
26,26,"(4, 69)",5,0.55
27,27,"(4, 315)",5,0.4
28,28,"(188, 187)",7,0.63
29,29,"(188, 189)",9,0.9900000000000001
30,30,"(188, 230)",9,0.9
31,31,"(5, 6)",6,0.54
32,32,"(5, 158)",4,0.32000000000000006
33,33,"(69, 6)",7,0.5599999999999999
34,34,"(69, 68)",6,0.66
35,35,"(69, 70)",7,0.77
36,36,"(69, 111)",6,0.66
37,37,"(69, 380)",3,0.24
38,38,"(315, 162)",9,0.81
39,39,"(315, 314)",6,0.6
40,40,"(315, 316)",10,1.0
41,41,"(315, 327)",10,0.9
42,42,"(6, 7)",6,0.54
43,43,"(158, 157)",6,0.54
44,44,"(158, 159)",6,0.6
45,45,"(158, 346)",9,0.9
46,46,"(7, 8)",9,0.81
47,47,"(7, 318)",7,0.77
48,48,"(8, 9)",7,0.7
49,49,"(318, 67)",5,0.55
50,50,"(318, 240)",9,0.9
51,51,"(318, 279)",5,0.4
52,52,"(318, 317)",10,0.9
53,53,"(318, 319)",5,0.55
54,54,"(9, 10)",9,0.9
55,55,"(9, 256)",9,0.81
56,56,"(9, 281)",8,0.6400000000000001
57,57,"(9, 365)",5,0.5
58,58,"(10, 11)",8,0.6400000000000001
59,59,"(256, 255)",9,0.81
60,60,"(256, 257)",7,0.63
61,61,"(281, 280)",5,0.45
62,62,"(281, 282)",8,0.8
63,63,"(281, 368)",13,1.1700000000000002
64,64,"(281, 393)",5,0.5
65,65,"(365, 51)",6,0.66
66,66,"(365, 219)",4,0.4
67,67,"(365, 226)",8,0.8800000000000001
68,68,"(365, 364)",9,0.9
69,69,"(365, 366)",5,0.45
70,70,"(11, 12)",7,0.7
71,71,"(11, 301)",4,0.36000000000000004
72,72,"(12, 13)",3,0.27
73,73,"(301, 276)",3,0.27
74,74,"(301, 300)",9,0.7200000000000001
75,75,"(301, 302)",9,0.81
76,76,"(301, 357)",5,0.5
77,77,"(13, 14)",5,0.4
78,78,"(13, 77)",8,0.8
79,79,"(14, 15)",6,0.66
80,80,"(14, 27)",14,1.4
81,81,"(14, 66)",7,0.5599999999999999
82,82,"(14, 232)",7,0.5599999999999999
83,83,"(14, 266)",3,0.33
84,84,"(77, 76)",8,0.6400000000000001
85,85,"(77, 78)",7,0.77
86,86,"(77, 96)",10,0.9
87,87,"(77, 398)",5,0.45
88,88,"(15, 16)",7,0.7
89,89,"(27, 26)",5,0.45
90,90,"(27, 28)",11,0.9900000000000001
91,91,"(27, 89)",8,0.8
92,92,"(66, 65)",10,0.9
93,93,"(66, 67)",5,0.45
94,94,"(66, 197)",5,0.5
95,95,"(66, 360)",7,0.7
96,96,"(232, 231)",4,0.4
97,97,"(232, 233)",8,0.6400000000000001
98,98,"(232, 384)",4,0.36000000000000004
99,99,"(266, 265)",7,0.5599999999999999
100,100,"(266, 267)",8,0.6400000000000001
101,101,"(266, 296)",15,1.35
102,102,"(266, 353)",8,0.8800000000000001
103,103,"(16, 17)",5,0.45
104,104,"(16, 267)",8,0.6400000000000001
105,105,"(17, 18)",4,0.44000000000000006
106,106,"(267, 137)",6,0.6
107,107,"(267, 268)",4,0.32000000000000006
108,108,"(18, 19)",11,0.8800000000000001
109,109,"(19, 20)",4,0.4
110,110,"(19, 217)",7,0.7
111,111,"(19, 323)",7,0.5599999999999999
112,112,"(20, 21)",6,0.6
113,113,"(20, 204)",10,1.1
114,114,"(20, 275)",6,0.54
115,115,"(217, 216)",9,0.9
116,116,"(217, 218)",7,0.7
117,117,"(323, 76)",4,0.36000000000000004
118,118,"(323, 322)",9,0.81
119,119,"(323, 324)",6,0.66
120,120,"(323, 325)",10,0.8
121,121,"(21, 22)",7,0.63
122,122,"(204, 86)",5,0.5
123,123,"(204, 203)",5,0.5
124,124,"(204, 205)",3,0.27
125,125,"(204, 397)",5,0.4
126,126,"(275, 23)",9,0.9900000000000001
127,127,"(275, 89)",8,0.7200000000000001
128,128,"(275, 106)",6,0.54
129,129,"(275, 202)",7,0.63
130,130,"(275, 274)",11,0.8800000000000001
131,131,"(275, 276)",5,0.45
132,132,"(275, 329)",6,0.6
133,133,"(22, 23)",8,0.8
