,Unnamed: 0,Edges,Length,Demand
0,0,"(0, 1)",3,0.33
1,1,"(0, 199)",10,0.9
2,2,"(1, 2)",12,1.08
3,3,"(1, 172)",5,0.4
4,4,"(199, 14)",11,1.2100000000000002
5,5,"(199, 147)",8,0.6400000000000001
6,6,"(199, 198)",5,0.4
7,7,"(2, 3)",9,0.9
8,8,"(2, 72)",2,0.2
9,9,"(172, 171)",9,0.7200000000000001
10,10,"(172, 173)",6,0.48
11,11,"(3, 4)",4,0.32000000000000006
12,12,"(3, 50)",3,0.3
13,13,"(3, 69)",8,0.7200000000000001
14,14,"(72, 71)",6,0.54
15,15,"(72, 73)",7,0.63
16,16,"(72, 137)",13,1.3
17,17,"(4, 5)",7,0.7
18,18,"(4, 41)",5,0.5
19,19,"(4, 55)",4,0.44000000000000006
20,20,"(4, 73)",5,0.45
21,21,"(50, 13)",6,0.66
22,22,"(50, 49)",12,1.08
23,23,"(50, 51)",7,0.77
24,24,"(50, 90)",3,0.27
25,25,"(50, 173)",12,1.2
26,26,"(69, 48)",8,0.8800000000000001
27,27,"(69, 68)",5,0.4
28,28,"(69, 70)",5,0.45
29,29,"(69, 197)",5,0.45
30,30,"(69, 198)",8,0.8800000000000001
31,31,"(5, 6)",4,0.32000000000000006
32,32,"(5, 163)",7,0.5599999999999999
33,33,"(41, 40)",10,0.8
34,34,"(41, 42)",3,0.24
35,35,"(41, 43)",3,0.24
36,36,"(41, 64)",10,1.0
37,37,"(55, 28)",5,0.4
38,38,"(55, 35)",11,0.8800000000000001
39,39,"(55, 54)",8,0.7200000000000001
40,40,"(55, 56)",8,0.8
41,41,"(55, 73)",6,0.54
42,42,"(55, 146)",8,0.6400000000000001
43,43,"(55, 153)",12,1.08
44,44,"(73, 11)",5,0.45
45,45,"(73, 32)",6,0.6
46,46,"(73, 74)",14,1.1199999999999999
47,47,"(73, 90)",9,0.9
48,48,"(6, 7)",8,0.8
49,49,"(6, 56)",6,0.54
50,50,"(6, 87)",5,0.5
51,51,"(163, 63)",4,0.4
52,52,"(163, 83)",6,0.6
53,53,"(163, 162)",3,0.24
54,54,"(163, 164)",7,0.63
55,55,"(163, 165)",7,0.7
56,56,"(7, 8)",7,0.7
57,57,"(7, 10)",6,0.66
58,58,"(7, 19)",6,0.6
59,59,"(7, 44)",10,1.0
60,60,"(7, 171)",11,0.9900000000000001
61,61,"(56, 57)",5,0.45
62,62,"(87, 8)",7,0.63
63,63,"(87, 86)",11,0.8800000000000001
64,64,"(87, 88)",7,0.7
65,65,"(87, 152)",6,0.66
66,66,"(87, 174)",6,0.54
67,67,"(8, 9)",6,0.54
68,68,"(8, 177)",6,0.6
69,69,"(10, 9)",6,0.6
70,70,"(10, 11)",4,0.4
71,71,"(10, 106)",8,0.7200000000000001
72,72,"(10, 187)",8,0.8
73,73,"(19, 15)",11,0.8800000000000001
74,74,"(19, 18)",2,0.22000000000000003
75,75,"(19, 20)",3,0.3
76,76,"(19, 22)",6,0.48
77,77,"(19, 119)",8,0.7200000000000001
78,78,"(44, 43)",8,0.8
79,79,"(44, 45)",3,0.27
80,80,"(44, 110)",5,0.55
81,81,"(171, 116)",6,0.54
82,82,"(171, 166)",12,0.96
83,83,"(171, 170)",8,0.6400000000000001
84,84,"(9, 66)",5,0.55
85,85,"(9, 106)",3,0.27
86,86,"(177, 130)",7,0.7
87,87,"(177, 176)",9,0.9900000000000001
88,88,"(177, 178)",7,0.7
89,89,"(66, 32)",9,0.81
90,90,"(66, 40)",4,0.44000000000000006
91,91,"(66, 65)",4,0.4
92,92,"(66, 67)",5,0.5
93,93,"(66, 85)",7,0.5599999999999999
94,94,"(106, 105)",5,0.55
95,95,"(106, 107)",10,1.0
96,96,"(106, 151)",4,0.4
97,97,"(11, 12)",6,0.6
98,98,"(11, 198)",4,0.36000000000000004
99,99,"(187, 43)",9,0.81
100,100,"(187, 186)",3,0.33
101,101,"(187, 188)",5,0.5
102,102,"(12, 13)",12,1.2
103,103,"(12, 184)",7,0.7
104,104,"(12, 196)",5,0.45
105,105,"(198, 36)",6,0.6
106,106,"(198, 197)",6,0.6
107,107,"(13, 14)",3,0.3
108,108,"(13, 151)",8,0.8
109,109,"(184, 53)",8,0.8800000000000001
110,110,"(184, 151)",7,0.5599999999999999
111,111,"(184, 155)",9,0.9
112,112,"(184, 169)",9,0.81
113,113,"(184, 183)",7,0.63
114,114,"(184, 185)",12,1.08
115,115,"(196, 61)",11,1.1
116,116,"(196, 100)",7,0.5599999999999999
117,117,"(196, 119)",5,0.5
118,118,"(196, 195)",11,0.9900000000000001
119,119,"(196, 197)",9,0.81
120,120,"(14, 15)",4,0.44000000000000006
121,121,"(151, 20)",10,1.0
122,122,"(151, 150)",9,0.7200000000000001
123,123,"(151, 152)",5,0.4
124,124,"(151, 166)",9,0.81
125,125,"(15, 16)",5,0.4
126,126,"(15, 180)",8,0.7200000000000001
127,127,"(16, 17)",6,0.48
128,128,"(180, 54)",10,0.9
129,129,"(180, 179)",9,0.9900000000000001
130,130,"(180, 181)",8,0.8800000000000001
131,131,"(17, 18)",6,0.48
132,132,"(17, 189)",5,0.45
133,133,"(18, 45)",2,0.2
134,134,"(18, 164)",6,0.54
135,135,"(189, 97)",6,0.48
136,136,"(189, 122)",13,1.04
137,137,"(189, 166)",5,0.4
138,138,"(189, 188)",6,0.6
139,139,"(189, 190)",5,0.45
140,140,"(45, 46)",6,0.6
141,141,"(45, 125)",6,0.6
142,142,"(45, 162)",5,0.45
143,143,"(164, 126)",7,0.7
144,144,"(164, 165)",11,0.9900000000000001
145,145,"(20, 21)",7,0.63
146,146,"(20, 32)",9,0.9
147,147,"(20, 86)",10,0.8
148,148,"(20, 96)",5,0.45
149,149,"(20, 169)",7,0.7
150,150,"(20, 195)",10,1.0
151,151,"(22, 21)",10,1.0
152,152,"(22, 23)",6,0.54
153,153,"(22, 74)",6,0.48
154,154,"(119, 118)",14,1.54
155,155,"(119, 120)",13,1.3
156,156,"(32, 31)",5,0.45
157,157,"(32, 33)",9,0.81
158,158,"(32, 115)",7,0.7
159,159,"(32, 127)",10,0.9
160,160,"(86, 85)",8,0.7200000000000001
161,161,"(86, 138)",8,0.8
162,162,"(86, 175)",8,0.8800000000000001
163,163,"(96, 95)",8,0.7200000000000001
164,164,"(96, 97)",6,0.54
165,165,"(96, 120)",7,0.7
166,166,"(96, 152)",9,0.81
167,167,"(169, 53)",6,0.48
168,168,"(169, 112)",11,1.1
169,169,"(169, 123)",10,1.0
170,170,"(169, 168)",3,0.3
171,171,"(169, 170)",8,0.8
172,172,"(195, 64)",11,0.9900000000000001
173,173,"(195, 194)",5,0.4
174,174,"(23, 24)",3,0.33
175,175,"(23, 85)",7,0.5599999999999999
176,176,"(23, 103)",7,0.63
177,177,"(23, 167)",9,0.9
178,178,"(74, 75)",7,0.63
179,179,"(24, 25)",7,0.7
180,180,"(24, 124)",6,0.6
181,181,"(24, 128)",4,0.36000000000000004
182,182,"(85, 84)",6,0.48
183,183,"(85, 156)",4,0.36000000000000004
184,184,"(85, 160)",7,0.63
185,185,"(103, 102)",3,0.24
186,186,"(103, 104)",7,0.5599999999999999
187,187,"(103, 123)",8,0.8
188,188,"(167, 107)",7,0.63
189,189,"(167, 166)",10,1.0
190,190,"(167, 168)",9,0.9
191,191,"(167, 190)",8,0.8800000000000001
192,192,"(25, 26)",5,0.55
193,193,"(124, 123)",9,0.7200000000000001
194,194,"(124, 125)",9,0.9
195,195,"(128, 127)",8,0.6400000000000001
196,196,"(128, 129)",7,0.7
197,197,"(128, 138)",6,0.48
198,198,"(26, 27)",6,0.48
199,199,"(26, 115)",7,0.63
200,200,"(26, 130)",3,0.3
201,201,"(26, 143)",5,0.45
202,202,"(27, 28)",8,0.7200000000000001
203,203,"(27, 57)",10,0.9
204,204,"(27, 70)",8,0.7200000000000001
205,205,"(27, 80)",8,0.8
206,206,"(115, 114)",8,0.7200000000000001
207,207,"(115, 116)",8,0.8
208,208,"(115, 121)",8,0.8800000000000001
209,209,"(115, 129)",9,0.81
210,210,"(130, 125)",8,0.7200000000000001
211,211,"(130, 126)",7,0.7
212,212,"(130, 129)",5,0.5
213,213,"(130, 131)",7,0.7
214,214,"(130, 152)",7,0.63
215,215,"(143, 51)",5,0.5
216,216,"(143, 142)",8,0.8
217,217,"(143, 144)",7,0.77
218,218,"(143, 159)",7,0.77
219,219,"(143, 182)",10,1.0
220,220,"(28, 29)",8,0.8800000000000001
221,221,"(28, 104)",10,1.0
222,222,"(57, 58)",8,0.8800000000000001
223,223,"(57, 110)",8,0.6400000000000001
224,224,"(70, 71)",6,0.6
225,225,"(70, 95)",9,0.9
226,226,"(70, 125)",7,0.7
227,227,"(70, 142)",8,0.6400000000000001
228,228,"(80, 40)",9,0.7200000000000001
229,229,"(80, 79)",11,1.1
230,230,"(80, 81)",6,0.54
231,231,"(80, 161)",8,0.8800000000000001
232,232,"(29, 30)",8,0.7200000000000001
233,233,"(104, 105)",7,0.7
234,234,"(30, 31)",6,0.66
235,235,"(31, 140)",7,0.77
236,236,"(31, 145)",9,0.81
237,237,"(140, 139)",7,0.63
238,238,"(140, 141)",5,0.5
239,239,"(140, 154)",6,0.6
240,240,"(145, 144)",4,0.4
241,241,"(145, 146)",5,0.45
242,242,"(33, 34)",5,0.45
243,243,"(33, 109)",8,0.6400000000000001
244,244,"(33, 161)",10,0.9
245,245,"(127, 126)",5,0.5
246,246,"(34, 35)",6,0.6
247,247,"(109, 94)",5,0.5
248,248,"(109, 108)",8,0.8
249,249,"(109, 110)",5,0.45
250,250,"(161, 160)",6,0.48
251,251,"(161, 162)",8,0.7200000000000001
252,252,"(161, 181)",6,0.54
253,253,"(35, 36)",6,0.54
254,254,"(36, 37)",7,0.5599999999999999
255,255,"(36, 79)",7,0.63
256,256,"(36, 166)",7,0.7
257,257,"(37, 38)",7,0.5599999999999999
258,258,"(37, 53)",9,0.9
259,259,"(79, 78)",9,0.81
260,260,"(79, 91)",7,0.5599999999999999
261,261,"(166, 58)",10,1.1
262,262,"(166, 165)",9,0.9
263,263,"(38, 39)",6,0.48
264,264,"(53, 52)",9,0.81
265,265,"(53, 54)",13,1.04
266,266,"(39, 40)",5,0.45
267,267,"(40, 113)",6,0.54
268,268,"(113, 68)",8,0.6400000000000001
269,269,"(113, 112)",8,0.8
270,270,"(113, 114)",4,0.4
271,271,"(113, 159)",11,1.1
272,272,"(42, 43)",7,0.7
273,273,"(42, 81)",6,0.48
274,274,"(42, 125)",4,0.36000000000000004
275,275,"(43, 117)",12,0.96
276,276,"(64, 63)",7,0.7
277,277,"(64, 65)",6,0.48
278,278,"(64, 132)",6,0.48
279,279,"(64, 191)",5,0.45
280,280,"(81, 82)",7,0.7
