,Unnamed: 0,Edges,Length,Demand
0,0,"(0, 1)",6,0.54
1,1,"(0, 28)",9,0.9
2,2,"(0, 214)",5,0.5
3,3,"(0, 281)",5,0.5
4,4,"(0, 495)",5,0.55
5,5,"(0, 599)",8,0.7200000000000001
6,6,"(1, 2)",11,0.9900000000000001
7,7,"(28, 27)",9,0.9900000000000001
8,8,"(28, 29)",8,0.6400000000000001
9,9,"(28, 247)",8,0.7200000000000001
10,10,"(28, 367)",8,0.6400000000000001
11,11,"(28, 481)",6,0.66
12,12,"(28, 587)",3,0.27
13,13,"(214, 213)",11,0.9900000000000001
14,14,"(214, 215)",7,0.7
15,15,"(214, 290)",4,0.36000000000000004
16,16,"(214, 540)",4,0.4
17,17,"(214, 572)",5,0.5
18,18,"(281, 277)",2,0.2
19,19,"(281, 280)",9,0.9
20,20,"(281, 282)",12,1.32
21,21,"(495, 296)",6,0.6
22,22,"(495, 494)",7,0.63
23,23,"(495, 496)",7,0.7
24,24,"(599, 459)",8,0.8
25,25,"(599, 546)",11,0.9900000000000001
26,26,"(599, 598)",5,0.5
27,27,"(2, 3)",13,1.1700000000000002
28,28,"(3, 4)",5,0.45
29,29,"(3, 200)",11,1.2100000000000002
30,30,"(3, 246)",6,0.54
31,31,"(4, 5)",10,1.1
32,32,"(4, 135)",8,0.7200000000000001
33,33,"(4, 310)",7,0.5599999999999999
34,34,"(200, 199)",5,0.5
35,35,"(200, 201)",10,0.9
36,36,"(200, 579)",3,0.33
37,37,"(246, 170)",7,0.63
38,38,"(246, 245)",5,0.5
39,39,"(246, 247)",6,0.66
40,40,"(246, 340)",7,0.7
41,41,"(5, 6)",5,0.5
42,42,"(5, 190)",6,0.54
43,43,"(135, 134)",6,0.54
44,44,"(135, 136)",7,0.5599999999999999
45,45,"(135, 446)",9,0.81
46,46,"(310, 27)",8,0.8
47,47,"(310, 35)",8,0.8800000000000001
48,48,"(310, 78)",6,0.48
49,49,"(310, 119)",6,0.6
50,50,"(310, 309)",9,0.9
51,51,"(310, 311)",6,0.6
52,52,"(310, 463)",5,0.45
53,53,"(6, 7)",8,0.7200000000000001
54,54,"(6, 265)",4,0.4
55,55,"(6, 460)",8,0.8
56,56,"(190, 189)",13,1.4300000000000002
57,57,"(190, 191)",5,0.45
58,58,"(190, 291)",6,0.6
59,59,"(7, 8)",6,0.66
60,60,"(7, 148)",5,0.45
61,61,"(265, 197)",10,0.8
62,62,"(265, 264)",5,0.4
63,63,"(265, 266)",3,0.3
64,64,"(265, 323)",10,1.0
65,65,"(460, 358)",4,0.4
66,66,"(460, 390)",8,0.8800000000000001
67,67,"(460, 459)",10,0.9
68,68,"(460, 461)",8,0.8
69,69,"(8, 9)",11,0.9900000000000001
70,70,"(8, 550)",4,0.44000000000000006
71,71,"(8, 583)",9,0.81
72,72,"(148, 142)",5,0.45
73,73,"(148, 147)",8,0.8
74,74,"(148, 149)",6,0.54
75,75,"(148, 213)",7,0.7
76,76,"(148, 472)",9,0.81
77,77,"(148, 586)",9,0.81
78,78,"(9, 10)",8,0.7200000000000001
79,79,"(9, 45)",6,0.54
80,80,"(9, 278)",8,0.7200000000000001
81,81,"(550, 108)",4,0.4
82,82,"(550, 549)",3,0.24
83,83,"(550, 551)",7,0.63
84,84,"(583, 143)",10,0.9
85,85,"(583, 474)",6,0.48
86,86,"(583, 582)",10,0.9
87,87,"(583, 584)",8,0.8800000000000001
88,88,"(10, 11)",7,0.7
89,89,"(10, 21)",8,0.7200000000000001
90,90,"(10, 54)",11,1.2100000000000002
91,91,"(10, 117)",11,0.9900000000000001
92,92,"(10, 298)",8,0.8
93,93,"(45, 44)",5,0.55
94,94,"(45, 46)",7,0.63
95,95,"(45, 385)",6,0.48
96,96,"(278, 123)",7,0.77
97,97,"(278, 187)",4,0.44000000000000006
98,98,"(278, 277)",5,0.55
99,99,"(278, 279)",9,0.81
100,100,"(11, 12)",5,0.55
101,101,"(11, 32)",8,0.8
102,102,"(11, 66)",9,0.9
103,103,"(21, 20)",4,0.4
104,104,"(21, 22)",10,0.8
105,105,"(21, 528)",7,0.77
106,106,"(54, 46)",11,0.9900000000000001
107,107,"(54, 53)",5,0.45
108,108,"(54, 55)",4,0.36000000000000004
109,109,"(54, 593)",6,0.66
110,110,"(117, 116)",12,1.08
111,111,"(117, 118)",6,0.54
112,112,"(117, 409)",7,0.7
113,113,"(298, 297)",8,0.8800000000000001
114,114,"(298, 299)",11,0.8800000000000001
115,115,"(298, 578)",4,0.36000000000000004
116,116,"(12, 13)",6,0.66
117,117,"(12, 320)",7,0.7
118,118,"(32, 31)",7,0.5599999999999999
119,119,"(32, 33)",8,0.7200000000000001
120,120,"(32, 275)",5,0.5
121,121,"(66, 65)",6,0.66
122,122,"(66, 67)",6,0.6
123,123,"(66, 239)",8,0.7200000000000001
124,124,"(66, 424)",13,1.04
125,125,"(13, 14)",9,0.7200000000000001
126,126,"(13, 264)",6,0.6
127,127,"(320, 274)",6,0.66
128,128,"(320, 319)",5,0.4
129,129,"(320, 321)",3,0.27
130,130,"(320, 541)",2,0.16000000000000003
131,131,"(14, 15)",7,0.7
